,code,date,p_change
517,600765,2017-08-04,9.96
518,601222,2017-11-20,9.97
519,601222,2017-11-13,10.05
520,600418,2017-10-09,10.03
521,600435,2017-08-04,9.98
522,002347,2017-10-10,10.05
523,002347,2017-08-23,10.07
524,600768,2017-08-09,9.98
525,600755,2017-08-29,10.02
526,600755,2017-07-26,10.02
527,600755,2017-07-21,10.05
528,002068,2017-08-30,10.01
529,002068,2017-07-26,9.96
530,600240,2017-07-24,9.98
531,000025,2017-10-11,9.99
532,600707,2017-07-24,9.95
533,002018,2017-07-07,10.03
534,000408,2017-09-01,10.01
535,000408,2017-08-24,10.04
536,002632,2017-07-20,10.03
537,603040,2017-10-25,10.0
538,603160,2017-11-23,10.0
539,600807,2017-11-08,10.04
540,600807,2017-11-07,10.04
541,600807,2017-11-03,10.02
542,000952,2017-07-31,9.97
543,600618,2017-10-09,10.04
544,600385,2017-07-21,9.98
545,000011,2017-09-08,9.98
546,000912,2017-09-12,10.03
547,000912,2017-07-11,10.0
548,000912,2017-07-05,10.0
549,600734,2017-07-19,10.02
550,002456,2017-07-19,9.95
551,600749,2017-09-14,10.0
552,600380,2017-09-01,10.02
553,603096,2017-08-14,10.0
554,603096,2017-07-27,10.0
555,600252,2017-08-24,10.05
556,002728,2017-10-13,10.01
557,002621,2017-11-14,9.99
558,002621,2017-11-01,10.01
559,600360,2017-11-30,10.03
560,002223,2017-10-10,10.01
561,002199,2017-11-24,10.0
562,002199,2017-07-20,10.02
563,600532,2017-11-06,10.02
564,002639,2017-09-21,10.02
565,002742,2017-11-20,10.01
566,002742,2017-09-14,10.0
567,002742,2017-08-31,10.0
568,002856,2017-11-20,10.01
569,002856,2017-10-13,9.99
570,002856,2017-10-12,10.01
571,000810,2017-09-12,10.05
572,000717,2017-11-28,10.05
573,000717,2017-09-01,10.06
574,000717,2017-08-30,10.03
575,000717,2017-08-25,10.02
576,603959,2017-10-19,10.02
577,600721,2017-11-20,10.0
578,002537,2017-08-08,10.01
579,600429,2017-07-31,9.97
580,603822,2017-10-16,10.0
581,603822,2017-10-13,10.0
582,600373,2017-08-08,9.99
583,600498,2017-09-27,10.0
584,002226,2017-08-25,9.99
585,000966,2017-08-29,10.04
586,002064,2017-08-04,10.1
587,002377,2017-10-24,10.02
588,002377,2017-07-26,9.99
589,002377,2017-07-21,9.98
590,002811,2017-08-02,10.0
591,600587,2017-07-20,10.03
